"Text 10","10/27/2025","10/28/2025","","",""
"Sorting & Selection","11/12/2025","11/13/2025","","",""
"Text 1","08/26/2025","08/27/2025","","",""
"List ADT","10/03/2025","10/04/2025","","",""
"Search Trees","11/03/2025","11/04/2025","","",""
"Algorithm Analysis","09/12/2025","09/13/2025","","",""
"Text 5","09/17/2025","09/18/2025","","",""
"Last day for no-record Drop","09/03/2025","09/04/2025","","",""
"Object-Oriented Design","08/29/2025","08/30/2025","","",""
"Holiday - Labor Day","09/01/2025","09/02/2025","","",""
"Text 7","10/03/2025","10/04/2025","","",""
"Text 3","09/05/2025","09/06/2025","","",""
"Text 9","10/20/2025","10/21/2025","","",""
"Maps & Hash Tables","10/27/2025","10/28/2025","","",""
"Holiday - Veterans Day","11/11/2025","11/12/2025","","",""
"Text 11","11/03/2025","11/04/2025","","",""
"Required lecture","09/02/2025","09/03/2025","","",""
"Graphs","11/21/2025","11/22/2025","","",""
"Required lecture","08/28/2025","08/29/2025","","",""
"Priority Queues","10/20/2025","10/21/2025","","",""
"Text 14","11/21/2025","11/22/2025","","",""
"Spring Career Expo - No Class","09/17/2025","09/18/2025","","",""
"Last day to drop with a W.","11/14/2025","11/15/2025","","",""
"General Trees","10/15/2025","10/16/2025","","",""
"Text 6","09/26/2025","09/27/2025","","",""
"Fundamental Data Structures","09/05/2025","09/06/2025","","",""
"Text 8","10/15/2025","10/16/2025","","",""
"No Class","08/25/2025","08/26/2025","","",""
"Course Intro","08/26/2025","08/27/2025","","",""
"Review Java Programming Basics","08/27/2025","08/28/2025","","",""
"Holiday - Thanksgiving","11/26/2025","11/27/2025","","",""
"Text 12","11/12/2025","11/13/2025","","",""
"Text 2","08/28/2025","08/29/2025","","",""
"Recursion","09/18/2025","09/19/2025","","",""
"Text 4","09/12/2025","09/13/2025","","",""
"Stacks, Queues & Deques","09/26/2025","09/27/2025","","",""
"Holiday - Thanksgiving","11/28/2025","11/29/2025","","",""
"Text 15","12/08/2025","12/09/2025","","",""
"Holiday - Thanksgiving","11/27/2025","11/28/2025","","",""
"Exam 1 - Chapters 1, 2, 3, 4, 5","10/01/2025","10/02/2025","","",""
"Exam 2 - Chapters 6, 7, 8, 9","11/05/2025","11/06/2025","","",""
"Memory Management & B-Trees","12/08/2025","12/09/2025","","",""
"Required lecture","09/04/2025","09/05/2025","","",""
"Final Exam Week","12/15/2025","12/20/2025","","",""
"Exam 3","12/19/2025 10:30 AM CST","12/19/2025 11:30 AM CST","","",""
"Exam 3","12/18/2025 10:30 AM CST","12/18/2025 11:30 AM CST","","",""
