"Worksheet 1 - Forming groups","08/26/2025","08/27/2025","","",""
"Worksheet 2 - u-substitution Practice gateway","08/28/2025","08/29/2025","","",""
"Gateways -1 & 0","08/29/2025","08/30/2025","","",""
"Classes start","08/25/2025","08/26/2025","","",""
"Labor day: no classes","09/01/2025","09/02/2025","","",""
"Gateways 0 & -1","09/02/2025","09/03/2025","","",""
"Worksheet 3 - The course and your group","09/02/2025","09/03/2025","","",""
"Add/drop deadline for 100% tuition refund","09/03/2025","09/04/2025","","",""
"Worksheet 4 - Area between two curves","09/04/2025","09/05/2025","","",""
"Worksheet 5 - Volume","09/09/2025","09/10/2025","","",""
"Worksheet 6 - Volume remix","09/11/2025","09/12/2025","","",""
"Syllabus, intro, Calc I review","08/27/2025","08/28/2025","","",""
"4.5 - u-substitution","08/29/2025","08/30/2025","","",""
"5.1 - Area between two curves","09/03/2025","09/04/2025","","",""
"5.2 -Volume via cross section","09/05/2025","09/06/2025","","",""
"5.2 - Disc and washer method","09/08/2025","09/09/2025","","",""
"5.3 - Shell method","09/10/2025","09/11/2025","","",""
"Gateways 1, 0, & -1","09/12/2025","09/13/2025","","",""
"5.4 - Work and energy","09/12/2025","09/13/2025","","",""
"5.4 - Work and energy","09/15/2025","09/16/2025","","",""
"Worksheet 7 - Volume Reremix","09/16/2025","09/17/2025","","",""
"5.5 - Average value and density","09/17/2025","09/18/2025","","",""
"Gateways 2, 1, & 0","09/18/2025","09/19/2025","","",""
"Worksheet 8 - Work","09/18/2025","09/19/2025","","",""
"7.1 - Integration by parts","09/19/2025","09/20/2025","","",""
"7.1 - Integration by parts","09/22/2025","09/23/2025","","",""
"Worksheet 9 - Integration by parts","09/23/2025","09/24/2025","","",""
"7.4 - Partial fractions","09/24/2025","09/25/2025","","",""
"Worksheet 10 - Trig integrals","09/25/2025","09/26/2025","","",""
"Gateways 3, 2, & 1","09/26/2025","09/27/2025","","",""
"7.2 - Trig integrals","09/26/2025","09/27/2025","","",""
"7.3 - Trig substitution","09/29/2025","09/30/2025","","",""
"Worksheet 11 - Trig substitution","09/30/2025","10/01/2025","","",""
"7.3 - Trig substitution","10/01/2025","10/02/2025","","",""
"Gateways 4, 3, & 2","10/02/2025","10/03/2025","","",""
