"Syllabus","08/26/2025","08/27/2025","","",""
"MM, Ch. 1","08/28/2025","08/29/2025","","",""
"MM, Ch. 1","09/02/2025","09/03/2025","","",""
"MM, Ch. 2","09/04/2025","09/05/2025","","",""
"MM, Ch. 2","09/09/2025","09/10/2025","","",""
"MM, Ch. 3","09/11/2025","09/12/2025","","",""
"MM, Ch. 3","09/16/2025","09/17/2025","","",""
"MM, Ch. 4","09/18/2025","09/19/2025","","",""
"MM, Ch. 4","09/23/2025","09/24/2025","","",""
"Exam #1","09/25/2025","09/26/2025","","",""
"MM, Ch. 7","09/30/2025","10/01/2025","","",""
"MM, Ch. 7","10/02/2025","10/03/2025","","",""
"MM, Ch. 8","10/07/2025","10/08/2025","","",""
"MM, Ch. 8","10/09/2025","10/10/2025","","",""
"MM, Ch. 9","10/14/2025","10/15/2025","","",""
"MM, Ch. 9","10/16/2025","10/17/2025","","",""
"MM, Ch. 11","10/21/2025","10/22/2025","","",""
"MM, Ch. 12/13","10/23/2025","10/24/2025","","",""
"Application Assignment Due","10/16/2025","10/17/2025","","",""
"MM, Ch. 14","10/28/2025","10/29/2025","","",""
"Exam #2","10/30/2025","10/31/2025","","",""
"MM, Ch. 10","11/04/2025","11/05/2025","","",""
"CC pp. 1-33","11/06/2025","11/07/2025","","",""
"No Class Meeting","11/11/2025","11/12/2025","","",""
"CC pp. 35-104","11/13/2025","11/14/2025","","",""
"CC pp. 35-104","11/18/2025","11/19/2025","","",""
"No Class Meeting (NCA)","11/20/2025","11/21/2025","","",""
"CC pp. 35-104","11/25/2025","11/26/2025","","",""
"No Class Meeting","11/27/2025","11/28/2025","","",""
"CC pp. 105-227","12/02/2025","12/03/2025","","",""
"CC pp. 105-227","12/04/2025","12/05/2025","","",""
"CC pp. 229-268","12/09/2025","12/10/2025","","",""
"Application Video Due","12/11/2025","12/12/2025","","",""
"Final Reflection Due","12/16/2025","12/17/2025","","",""
"Exam","12/16/2025 08:00 AM CST","12/16/2025 10:00 AM CST","","",""
