"Read Writing Critically - Chapter 2: Peer Review & Revision","09/08/2025","09/09/2025","","",""
"Watch Parts 1-3 of CrashCourse's series on Intellectual Property [linked on Blackboard]","11/19/2025","11/20/2025","","",""
"Submit Journal 1 to Blackboard before class today.","08/29/2025","08/30/2025","","",""
"Submit a draft of your Learning Memoir to the Peer Workshop Discussion Board on Blackboard.","09/10/2025","09/11/2025","","",""
"Read Randall McClure's ''Googlepedia: Turning Information Behaviors into Research Skills'' [linked on Blackboard]","09/22/2025","09/23/2025","","",""
"Submit Journal 4 to Blackboard before class today.","09/26/2025","09/27/2025","","",""
"Read the Student Example at the end of Chapter 12.","09/05/2025","09/06/2025","","",""
"Read Handout on Revision Plans & submit your revision plan to Blackboard before your conference.","10/29/2025","10/30/2025","","",""
"Homework:","09/19/2025","09/20/2025","","",""
"No Class - Thanksgiving","11/28/2025","11/29/2025","","",""
"Read Writing Critically - Chapter 18: Remixes & one example from the ''Remixes We Recommend'' section at the end of the chapter.","11/10/2025","11/11/2025","","",""
"Homework:","09/22/2025","09/23/2025","","",""
"Read Brad Jacobson's 'Writing in Genres: Rhetorical Moves Analysis.' [linked on Blackboard]","10/10/2025","10/11/2025","","",""
"Read Writing Critically - Chapter 10: Annotated Bibliographies & the Student Example at the end of the chapter.","10/20/2025","10/21/2025","","",""
"Submit a draft of your remix to the Peer Workshop Discussion Board before class today.","11/21/2025","11/22/2025","","",""
"Submit Journal 8 to Blackboard before class today.","11/10/2025","11/11/2025","","",""
"Read Handout on Revision Plans & submit your revision plan to Blackboard before your conference.","10/01/2025","10/02/2025","","",""
"Read ''A Quick Guide to Nonprofits'' [linked on Blackboard]","09/17/2025","09/18/2025","","",""
"Submit Journal 2 to Blackboard before class today.","09/03/2025","09/04/2025","","",""
"Submit a draft of your compiled portfolio to the Peer Workshop Discussion Board before class today.","12/10/2025","12/11/2025","","",""
"Submit a full draft of your community engagement proposal to the Peer Workshop Discussion Board before class today.","11/07/2025","11/08/2025","","",""
"Read Writing Critically - Chapter 1: Writing","08/29/2025","08/30/2025","","",""
"Read Laura Carroll's ''Backpacks & Briefcases: Steps Towards Rhetorical Analysis'' [linked on Blackboard]","09/19/2025","09/20/2025","","",""
"Submit a draft of your remix to the Peer Workshop Discussion Board before class today.","11/24/2025","11/25/2025","","",""
"No Class Today! Meet me at your scheduled conference time instead.","10/31/2025","11/01/2025","","",""
"Watch Kirby Ferguson's Everything is a Remix Pt. 1","11/12/2025","11/13/2025","","",""
"Read Writing Critically - Choose one of the rhetorical analyses in ''Student Examples'' at the end of Chapter 16.","09/24/2025","09/25/2025","","",""
"Read Handout on Revision Plans & submit your revision plan to Blackboard before your conference.","10/31/2025","11/01/2025","","",""
"Submit Journal 3 to Blackboard before class today.","09/17/2025","09/18/2025","","",""
"Submit a working draft of your annotated bibliography to the Peer Workshop Discussion Board before class today.","10/24/2025","10/25/2025","","",""
"None - familiarize yourself with our course Blackboard, ensure you can access the textbook, and take a look at our syllabus if you have time.","08/27/2025","08/28/2025","","",""
"Submit Journal 7 to Blackboard before class today.","10/22/2025","10/23/2025","","",""
"Read Writing Critically - Meta-Documents: Memoir Reflection","09/12/2025","09/13/2025","","",""
"No Class - Thanksgiving","11/26/2025","11/27/2025","","",""
"Submit Journal 10 to Blackboard before class today.","12/03/2025","12/04/2025","","",""
"Submit a draft of your proposal to the Peer Workshop Discussion Board before class today.","10/27/2025","10/28/2025","","",""
"Read Writing Critically - Chapter 8: Making Research Work for You","10/17/2025","10/18/2025","","",""
"No Class Today! Meet me at your scheduled conference time instead.","10/03/2025","10/04/2025","","",""
"Bring your revised drafts of the community engagement proposal with you to class for a lesson on self-revision strategies","11/05/2025","11/06/2025","","",""
"Bring your revised drafts of the community engagement proposal with you to class for a lesson on self-revision strategies","11/03/2025","11/04/2025","","",""
"Read Handout on Revision Plans & submit your revision plan to Blackboard before your conference.","10/03/2025","10/04/2025","","",""
"Homework:","09/26/2025","09/27/2025","","",""
"Read VanKooten's ''Thinking Across Mode & Media'' [linked on Blackboard]","11/17/2025","11/18/2025","","",""
"Read Writing Critically - Chapter 6: Research - Getting Started","10/15/2025","10/16/2025","","",""
"No Class Today! Meet me at your scheduled conference time instead.","10/01/2025","10/02/2025","","",""
"Submit Journal 5 to Blackboard before class today.","10/08/2025","10/09/2025","","",""
"Homework:","09/24/2025","09/25/2025","","",""
"Submit Journal 6 to Blackboard before class today.","10/13/2025","10/14/2025","","",""
"Read Writing Critically - Chapter 17: Proposals & choose one of the ''Proposals We Recommend''","10/06/2025","10/07/2025","","",""
"None - End of semester ''wrap-up,'' course evaluations, and final Q&A for the portfolio.","12/12/2025","12/13/2025","","",""
"Submit Journal 9 to Blackboard before class today.","11/14/2025","11/15/2025","","",""
"Read Writing Critically - Chapter 12: Memoirs","09/03/2025","09/04/2025","","",""
"Submit a draft of your Rhetorical Analysis to the Peer Workshop Discussion Board on Blackboard.","09/29/2025","09/30/2025","","",""
"Read Writing Critically - Choose one of the memoirs in ''Memoirs We Recommend'' at the end of Chapter 12.","09/05/2025","09/06/2025","","",""
"No Class - Labor Day","09/01/2025","09/02/2025","","",""
"No Class Today! Meet me at your scheduled conference time instead.","10/29/2025","10/30/2025","","",""
"Submit a draft of your cover letter to the Peer Workshop Discussion Board before class today.","12/08/2025","12/09/2025","","",""
"Bring one piece of writing from this semester that you're particularly proud of to class for an in-class activity.","12/05/2025","12/06/2025","","",""
"Read Writing Critically - Chapter 20: Portfolios & the ''Student Example'' at the end of the chapter.","12/01/2025","12/02/2025","","",""
"Read Writing Critically - Chapter 16: Rhetorical Analysis","09/15/2025","09/16/2025","","",""
"Learning Memoir Due","09/14/2025","09/15/2025","","",""
"Rhetorical Analysis due","10/05/2025","10/06/2025","","",""
"Journal 6 Due","10/17/2025","10/18/2025","","",""
"Journal 7 Due","10/31/2025","11/01/2025","","",""
"Community Engagement Proposal Due","11/09/2025","11/10/2025","","",""
"Remix Due","11/30/2025","12/01/2025","","",""
"Final Portfolio Due","12/12/2025","12/13/2025","","",""
