"PAL – 2 (The Guidelines)","09/16/2025","09/17/2025","","",""
"Fitness Lab 3","11/04/2025","11/05/2025","","",""
"---","12/02/2025","12/03/2025","","",""
"PAL – 1 (My MVPA)","09/09/2025","09/10/2025","","",""
"PAL – 6 (Sleep)","12/09/2025","12/10/2025","","",""
"PAR-Q Survey","09/02/2025","09/03/2025","","",""
"PAL – 5 (Functional Fitness)","10/28/2025","10/29/2025","","",""
"PAL – 3 (Warm-up)","09/23/2025","09/24/2025","","",""
"Fitness Lab 4","11/11/2025","11/12/2025","","",""
"Fitness Lab 2","10/07/2025","10/08/2025","","",""
"FAQ Final Draft","11/18/2025","11/19/2025","","",""
"Content Reviews (all due)","11/25/2025","11/26/2025","","",""
"PAL – 7 (Meditation and Mindful Movement)","12/16/2025","12/17/2025","","",""
"Fitness Lab 1","09/30/2025","10/01/2025","","",""
"PAL – 4 (Everyday RT)","10/14/2025","10/15/2025","","",""
"FAQ first draft","10/21/2025","10/22/2025","","",""
"No class","08/27/2025","08/28/2025","","",""
"No class","09/03/2025","09/04/2025","","",""
