Assignment,Type,Available,Due
MyLab Due Dates,,,
1.0 HW - Introduction to MyLab,Homework,08/25/25 12:00 AM,09/08/25 11:59 PM
1.1 HW - Statistical Thinking,Homework,08/25/25 12:00 AM,09/08/25 11:59 PM
1.2 HW - Types of Data,Homework,08/25/25 12:00 AM,09/08/25 11:59 PM
1.3 HW - Sample Data,Homework,08/25/25 12:00 AM,09/08/25 11:59 PM
Ch. 1 Test,Test,08/25/25 12:00 AM,09/10/25 11:59 PM
2.1 HW - Frequency Distributions,Homework,08/25/25 12:00 AM,09/15/25 11:59 PM
2.2 HW - Histograms,Homework,08/25/25 12:00 AM,09/15/25 11:59 PM
2.3 HW - Graphs,Homework,08/25/25 12:00 AM,09/15/25 11:59 PM
Ch. 2 Test,Test,08/25/25 12:00 AM,09/17/25 11:59 PM
3.1 HW - Measures of Center,Homework,08/25/25 12:00 AM,09/22/25 11:59 PM
3.2 HW - Measures of Variation,Homework,08/25/25 12:00 AM,09/22/25 11:59 PM
3.3 HW - Measures of Relative Standing,Homework,08/25/25 12:00 AM,09/22/25 11:59 PM
Ch. 3 Test,Test,08/25/25 12:00 AM,09/24/25 11:59 PM
4.1 HW - Basic Probability,Homework,09/08/25 12:00 AM,09/29/25 11:59 PM
4.2 HW - Addition & Multiplication Rules,Homework,09/08/25 12:00 AM,09/29/25 11:59 PM
4.3 HW - Complements and Conditional Probability,Homework,09/08/25 12:00 AM,09/29/25 11:59 PM
Ch. 4 Test,Test,09/08/25 12:00 AM,10/01/25 11:59 PM
5.1 HW - Probability Distributions,Homework,09/22/25 12:00 AM,10/06/25 11:59 PM
5.2 HW - Binomial Distributions,Homework,09/22/25 12:00 AM,10/06/25 11:59 PM
Ch. 5 Test,Test,09/22/25 12:00 AM,10/08/25 11:59 PM
6.1 HW - The Standard Normal Distribution,Homework,09/22/25 12:00 AM,10/13/25 11:59 PM
6.2 HW - Real Applications of Normal Distributions,Homework,09/22/25 12:00 AM,10/13/25 11:59 PM
Ch. 6 Test,Test,09/22/25 12:00 AM,10/15/25 11:59 PM
Practice Online Midterm Exam,Test,10/13/25 12:00 AM,10/20/25 11:59 PM
Online Midterm Exam; on class day but you may take from anywhere!,Test,10/22/25 12:00 AM,12/22/25 11:59 PM
7.1 HW - Estimating a Population Proportion,Homework,10/06/25 12:00 AM,10/27/25 11:59 PM
7.2 HW - Estimating a Population Mean,Homework,10/06/25 12:00 AM,10/27/25 11:59 PM
Ch. 7 Test,Test,10/06/25 12:00 AM,10/29/25 11:59 PM
8.1 HW - Basics of Hypothesis Testing,Homework,10/20/25 12:00 AM,11/03/25 11:59 PM
8.2 HW - Testing a Claim About a Proportion,Homework,10/20/25 12:00 AM,11/03/25 11:59 PM
8.3 HW - Testing a Claim About a Mean,Homework,10/20/25 12:00 AM,11/03/25 11:59 PM
Ch. 8 Test,Test,10/20/25 12:00 AM,11/05/25 11:59 PM
9.1 HW - Two Proportions,Homework,10/27/25 12:00 AM,11/10/25 11:59 PM
9.2 HW - Two Means: Independent Samples,Homework,10/27/25 12:00 AM,11/10/25 11:59 PM
9.3 HW - Matched Pairs,Homework,10/27/25 12:00 AM,11/10/25 11:59 PM
Ch. 9 Test,Test,10/27/25 12:00 AM,11/12/25 11:59 PM
10.1 HW - Correlation,Homework,11/03/25 12:00 AM,11/17/25 11:59 PM
10.2 HW - Regression,Homework,11/03/25 12:00 AM,11/17/25 11:59 PM
Ch. 10 Test,Test,11/03/25 12:00 AM,11/19/25 11:59 PM
11.1 HW - Goodness-of-Fit,Homework,11/03/25 12:00 AM,12/03/25 11:59 PM
11.2 HW - Contingency Tables,Homework,11/03/25 12:00 AM,12/08/25 11:59 PM
Practice Online Final Exam,Test,12/08/25 12:00 AM,12/10/25 11:59 PM
Online Final Exam,Test,12/12/25 12:00 AM,12/17/25 11:59 PM
IN CLASS FINAL (for class that starts at 11:30 PM (Section 2)),IN CLASS,"Wednesday, 12/17/2025 10am to 12pm",
IN CLASS FINAL (for class that starts at 12:40 PM (Section 3)),IN CLASS,"Tuesday, 12/16/2025 2:45pm to 4:45pm",
