Subject,Start Date
"1.0 HW - Introduction to MyLab",08/25/25
"1.1 HW - Statistical Thinking",08/25/25
"1.2 HW - Types of Data",08/25/25
"1.3 HW - Sample Data",08/25/25
"Ch. 1 Test",08/25/25
"2.1 HW - Frequency Distributions",08/25/25
"2.2 HW - Histograms",08/25/25
"2.3 HW - Graphs",08/25/25
"Ch. 2 Test",08/25/25
"3.1 HW - Measures of Center",08/25/25
"3.2 HW - Measures of Variation",08/25/25
"3.3 HW - Measures of Relative Standing",08/25/25
"Ch. 3 Test",08/25/25
"4.1 HW - Basic Probability",09/08/25
"4.2 HW - Addition & Multiplication Rules",09/08/25
"4.3 HW - Complements and Conditional Probability",09/08/25
"Ch. 4 Test",09/08/25
"5.1 HW - Probability Distributions",09/22/25
"5.2 HW - Binomial Distributions",09/22/25
"Ch. 5 Test",09/22/25
"6.1 HW - The Standard Normal Distribution",09/22/25
"6.2 HW - Real Applications of Normal Distributions",09/22/25
"Ch. 6 Test",09/22/25
"Practice Online Midterm Exam",10/13/25
"Online Midterm Exam; on class day but you may take from anywhere!",10/22/25
"7.1 HW - Estimating a Population Proportion",10/06/25
"7.2 HW - Estimating a Population Mean",10/06/25
"Ch. 7 Test",10/06/25
"8.1 HW - Basics of Hypothesis Testing",10/20/25
"8.2 HW - Testing a Claim About a Proportion",10/20/25
"8.3 HW - Testing a Claim About a Mean",10/20/25
"Ch. 8 Test",10/20/25
"9.1 HW - Two Proportions",10/27/25
"9.2 HW - Two Means: Independent Samples",10/27/25
"9.3 HW - Matched Pairs",10/27/25
"Ch. 9 Test",10/27/25
"10.1 HW - Correlation",11/03/25
"10.2 HW - Regression",11/03/25
"Ch. 10 Test",11/03/25
"11.1 HW - Goodness-of-Fit",11/03/25
"11.2 HW - Contingency Tables",11/03/25
"Practice Online Final Exam",12/08/25
"Online Final Exam",12/12/25
