Subject,Start Date
"1.0 HW - Introduction to MyLab",09/08/25
"1.1 HW - Statistical Thinking",09/08/25
"1.2 HW - Types of Data",09/08/25
"1.3 HW - Sample Data",09/08/25
"Ch. 1 Test",09/10/25
"2.1 HW - Frequency Distributions",09/15/25
"2.2 HW - Histograms",09/15/25
"2.3 HW - Graphs",09/15/25
"Ch. 2 Test",09/17/25
"3.1 HW - Measures of Center",09/22/25
"3.2 HW - Measures of Variation",09/22/25
"3.3 HW - Measures of Relative Standing",09/22/25
"Ch. 3 Test",09/24/25
"4.1 HW - Basic Probability",09/29/25
"4.2 HW - Addition & Multiplication Rules",09/29/25
"4.3 HW - Complements and Conditional Probability",09/29/25
"Ch. 4 Test",10/01/25
"5.1 HW - Probability Distributions",10/06/25
"5.2 HW - Binomial Distributions",10/06/25
"Ch. 5 Test",10/08/25
"6.1 HW - The Standard Normal Distribution",10/13/25
"6.2 HW - Real Applications of Normal Distributions",10/13/25
"Ch. 6 Test",10/15/25
"Practice Online Midterm Exam",10/20/25
"Online Midterm Exam; on class day but you may take from anywhere!",12/22/25
"7.1 HW - Estimating a Population Proportion",10/27/25
"7.2 HW - Estimating a Population Mean",10/27/25
"Ch. 7 Test",10/29/25
"8.1 HW - Basics of Hypothesis Testing",11/03/25
"8.2 HW - Testing a Claim About a Proportion",11/03/25
"8.3 HW - Testing a Claim About a Mean",11/03/25
"Ch. 8 Test",11/05/25
"9.1 HW - Two Proportions",11/10/25
"9.2 HW - Two Means: Independent Samples",11/10/25
"9.3 HW - Matched Pairs",11/10/25
"Ch. 9 Test",11/12/25
"10.1 HW - Correlation",11/17/25
"10.2 HW - Regression",11/17/25
"Ch. 10 Test",11/19/25
"11.1 HW - Goodness-of-Fit",12/03/25
"11.2 HW - Contingency Tables",12/08/25
"Practice Online Final Exam",12/10/25
"Online Final Exam",12/17/25
