Date,Content,Assignment(s) Due
WEEK ONE THEME: Welcome to Your Future's Past,,
M Sep 1,NO CLASS,-
W Sep 3,Welcome to FYSem! And college!!!,
F Sep 5,"What is ''Sustainability''?
Intro to What's Draining Me, What's Sustaining Me","Read Course Syllabus; bring questions to class
Reading Journal #1 DUE @ 10:20am Your Sustainability Definition + sources"
WEEK TWO THEME: What is ''Sustainability''?,,
M Sep 8,Defining ''Sustainability'',"Reading Journal 2: In-class
Bring your laptop!"
W Sep 10,Intro Final Project Part 1: Mapping My Sustainable College Life,Draining/Sustaining 1 DUE @ 10:20am
F Sep 12,Understanding the Liberal Arts with Joe Nelson,No homework! :)
WEEK THREE THEME: Perspectives on ''Sustainability'',,
M Sep 15,"The Present As the Future's Past:
Origins of ''Sustainability''",Reading Journal 3 DUE @ 10:20am!
W Sep 17,"Origins of ''Sustainability''
Introduction to Mapping a More Sustainable Community Group Project","Reading Journal 4: In-class
Bring your laptop!"
F Sep 19,Group Question Generation Day 1,Draining/Sustaining 2 DUE @ 10:20am
WEEK FOUR THEME: How to Use College Library Resources,,
M Sep 22,How to Read a ''Scholarly'' Source,Reading Journal 5
W Sep 24,Library Session Meet in Library Instruction Space on the 1st floor of Bush Library,Bring a laptop or tablet!
F Sep 26,Group Activity: Choosing a Scholarly Source on Sustainability,Draining/Sustaining 3 DUE @ 10:20am
WEEK FIVE THEME: Perspectives on ''Sustainability'',,
M Sep 29,Discussing & Reporting on Sustainability Scholarly Sources,"Scholarly Source Collaborative Annotations DUE @ 10:20am
Group Report (in-class)"
W Oct 1,Indigenous Perspectives on ''sustainability'',Reading Journal 6
F Oct 3,Group Questions Generation 2,Draining/Sustaining: First Month DUE @ 10:20am
WEEK SIX THEME: Planning a Sustainable Life (next semester and beyond....),,
M Oct 6,"What are your Passions?
What are your Strengths?
Destination Discovery @ 6-7:30pm",Before Destination Discovery checklist & questions
W Oct 8,CASA - Group Advising,"EXTRA CREDIT!!! 
**NIGHT SKIES EVENT OCT 9**"
F Oct 10,In Class: Tying Strengths & Interests to What's Draining/Sustaining,Draining/Sustaining 4
WEEK SEVEN THEME: ''AI'' and Sustainability: Environmental Issues,,
M Oct 13,AI and Resource Demands,Reading Journal 7
W Oct 15,AI and Environmental Justice,Reading Journal 8
F Oct 17 ,Group Questions Generation 3,Draining/Sustaining 5 DUE @ 10:20am
WEEK EIGHT THEME: ''AI'' and Sustainability: Social Issues,,
M Oct 20,AI and Social Sustainability,Reading Journal 9
W Oct 22,"Mid-Term Check-in
Group Questions Generation 4",No homework! :)
F Oct 24,Mid-Term Break - No Class!,-
WEEK NINE THEME: Identifying Sustainability Challenges,,
M Oct 27,Sustainability in the Hamline Neighborhood,Reading Journal 10
W Oct 29,''Freeganism'' with Sam Schmitt,Reading Journal 11
F Oct 31,Group Questions Generation 5,Draining/Sustaining 6 DUE @ 10:20am
WEEK TEN THEME: Identifying Sustainability Challenges,,
M Nov 3,"Student Guest Speakers! 
Hamline Geothermal Project
Bird Strike Research",Reading Journal 12
W Nov 5,Group Final Presentation Topic Activity,
F Nov 7,Clarifying Final Mapping My Sustainable Life Project,Draining/Sustaining: Second Month + Building Your Sustainable Life DUE @ 10:20am
WEEK ELEVEN THEME: How Will You Make a More ''Sustainable'' World?,,
M Nov 10,Clarifying Mapping a More Sustainable Community Group Project,Review full assignment info & come to class with questions!
W Nov 12,Group Work: Finalizing Topic Proposals,Group Presentation Topic Proposals Due by NOON
F Nov 14,Group Work: Choosing a Topic,Topic Locked in by End of Class!
WEEK TWELVE THEME: Mapping the Map for a More Sustainable World....,,
M Nov 17,Group Work: Assigning Group Members' Deliverables!,Group Presentation Work Plan Due by end of class
W Nov 19,Group Work: Starting Your Final Project!,"No homework :) 
But bring your project materials!"
F Nov 21,Work Day: Work on drafts of Mapping My Sustainable Life,DUE BY MIDNIGHT: DRAFTS OF MAPPING MY SUSTAINABLE LIFE
WEEK THIRTEEN THEME: The Present Is Your Future's Past....,,
M Nov 24,Find Your Purpose with the CDC,Career Modules on Canvas
W Nov 26,Mapping My Sustainable College Life: Show & Tell Day! ,DUE BY MIDNIGHT: MAPPING MY SUSTAINABLE LIFE FINAL (all components)
F Nov 28,Thanksgiving Break - NO CLASS!,
WEEK FOURTEEN THEME:,,
M Dec 1,Final Presentation Group Work Day,Bring group project materials to class!
W Dec 3,Final Presentation Group Work Day,Group Presentation Check-In DUE @ 10:20am
F Dec 5,Special Guests! ,No homework! :)
WEEK FIFTEEN THEME: ,,
M Dec 8,Presentation Delivery: Groups 1 & 2,"DUE AT 10:20 AM: Final Group Presentations + Individual Deliverables + Individual & Group Assessments
"
W Dec 10,Presentation Delivery: Groups 3 &4,"
"
F Dec 12,Last day of class!,-
