Subject,Start Date
"NO CLASS",09/01/25
"Welcome to FYSem! And college!!!",09/03/25
"What is ''Sustainability''?",09/05/25
"Intro to What's Draining Me, What's Sustaining Me",09/05/25
"Defining ''Sustainability''",09/08/25
"Intro Final Project Part 1: Mapping My Sustainable College Life",09/10/25
"Understanding the Liberal Arts with Joe Nelson",09/12/25
"The Present As the Future's Past:",09/15/25
"Origins of ''Sustainability''",09/15/25
"Origins of ''Sustainability''",09/17/25
"Introduction to Mapping a More Sustainable Community Group Project",09/17/25
"Group Question Generation Day 1",09/19/25
"How to Read a ''Scholarly'' Source",09/22/25
"Library Session Meet in Library Instruction Space on the 1st floor of Bush Library",09/24/25
"Group Activity: Choosing a Scholarly Source on Sustainability",09/26/25
"Discussing & Reporting on Sustainability Scholarly Sources",09/29/25
"Indigenous Perspectives on ''sustainability''",10/01/25
"Group Questions Generation 2",10/03/25
"What are your Passions?",10/06/25
"What are your Strengths?",10/06/25
"Destination Discovery @ 6-7:30pm",10/06/25
"CASA - Group Advising",10/08/25
"In Class: Tying Strengths & Interests to What's Draining/Sustaining",10/10/25
"AI and Resource Demands",10/13/25
"AI and Environmental Justice",10/15/25
"Group Questions Generation 3",10/17/25
"AI and Social Sustainability",10/20/25
"Mid-Term Check-in",10/22/25
"Group Questions Generation 4",10/22/25
"Mid-Term Break - No Class!",10/24/25
"Sustainability in the Hamline Neighborhood",10/27/25
"''Freeganism'' with Sam Schmitt",10/29/25
"Group Questions Generation 5",10/31/25
"Student Guest Speakers!",11/03/25
"Hamline Geothermal Project",11/03/25
"Bird Strike Research",11/03/25
"Group Final Presentation Topic Activity",11/05/25
"Clarifying Final Mapping My Sustainable Life Project",11/07/25
"Clarifying Mapping a More Sustainable Community Group Project",11/10/25
"Group Work: Finalizing Topic Proposals",11/12/25
"Group Work: Choosing a Topic",11/14/25
"Group Work: Assigning Group Members' Deliverables!",11/17/25
"Group Work: Starting Your Final Project!",11/19/25
"Work Day: Work on drafts of Mapping My Sustainable Life",11/21/25
"Find Your Purpose with the CDC",11/24/25
"Mapping My Sustainable College Life: Show & Tell Day!",11/26/25
"Thanksgiving Break - NO CLASS!",11/28/25
"Final Presentation Group Work Day",12/01/25
"Final Presentation Group Work Day",12/03/25
"Special Guests!",12/05/25
"Presentation Delivery: Groups 1 & 2",12/08/25
"Presentation Delivery: Groups 3 &4",12/10/25
"Last day of class!",12/12/25
