Subject,Start Date
"-",09/01/25
"Read Course Syllabus; bring questions to class",09/05/25
"Reading Journal #1 DUE @ 10:20am Your Sustainability Definition + sources",09/05/25
"Reading Journal 2: In-class",09/08/25
"Bring your laptop!",09/08/25
"Draining/Sustaining 1 DUE @ 10:20am",09/10/25
"No homework! :)",09/12/25
"Reading Journal 3 DUE @ 10:20am!",09/15/25
"Reading Journal 4: In-class",09/17/25
"Bring your laptop!",09/17/25
"Draining/Sustaining 2 DUE @ 10:20am",09/19/25
"Reading Journal 5",09/22/25
"Bring a laptop or tablet!",09/24/25
"Draining/Sustaining 3 DUE @ 10:20am",09/26/25
"Scholarly Source Collaborative Annotations DUE @ 10:20am",09/29/25
"Group Report (in-class)",09/29/25
"Reading Journal 6",10/01/25
"Draining/Sustaining: First Month DUE @ 10:20am",10/03/25
"Before Destination Discovery checklist & questions",10/06/25
"EXTRA CREDIT!!!",10/08/25
"**NIGHT SKIES EVENT OCT 9**",10/08/25
"Draining/Sustaining 4",10/10/25
"Reading Journal 7",10/13/25
"Reading Journal 8",10/15/25
"Draining/Sustaining 5 DUE @ 10:20am",10/17/25
"Reading Journal 9",10/20/25
"No homework! :)",10/22/25
"-",10/24/25
"Reading Journal 10",10/27/25
"Reading Journal 11",10/29/25
"Draining/Sustaining 6 DUE @ 10:20am",10/31/25
"Reading Journal 12",11/03/25
"Draining/Sustaining: Second Month + Building Your Sustainable Life DUE @ 10:20am",11/07/25
"Review full assignment info & come to class with questions!",11/10/25
"Group Presentation Topic Proposals Due by NOON",11/12/25
"Topic Locked in by End of Class!",11/14/25
"Group Presentation Work Plan Due by end of class",11/17/25
"No homework :)",11/19/25
"But bring your project materials!",11/19/25
"DUE BY MIDNIGHT: DRAFTS OF MAPPING MY SUSTAINABLE LIFE",11/21/25
"Career Modules on Canvas",11/24/25
"DUE BY MIDNIGHT: MAPPING MY SUSTAINABLE LIFE FINAL (all components)",11/26/25
"Bring group project materials to class!",12/01/25
"Group Presentation Check-In DUE @ 10:20am",12/03/25
"No homework! :)",12/05/25
"DUE AT 10:20 AM: Final Group Presentations + Individual Deliverables + Individual & Group Assessments",12/08/25
"-",12/12/25
