Subject,Start Date
"No Class",08/25/25
"Course Intro",08/26/25
"Review Java Programming Basics",08/27/25
"Required lecture",08/28/25
"Object-Oriented Design",08/29/25
"Text 1",08/26/25
"Text 2",08/28/25
"Holiday - Labor Day",09/01/25
"Required lecture",09/02/25
"Last day for no-record Drop",09/03/25
"Required lecture",09/04/25
"Fundamental Data Structures",09/05/25
"Text 3",09/05/25
"Algorithm Analysis",09/12/25
"Text 4",09/12/25
"Spring Career Expo - No Class",09/17/25
"Recursion",09/18/25
"Text 5",09/17/25
"Stacks, Queues & Deques",09/26/25
"Text 6",09/26/25
"Exam 1 - Chapters 1, 2, 3, 4, 5",10/01/25
"List ADT",10/03/25
"Text 7",10/03/25
"General Trees",10/15/25
"Text 8",10/15/25
"Priority Queues",10/20/25
"Text 9",10/20/25
"Maps & Hash Tables",10/27/25
"Text 10",10/27/25
"Search Trees",11/03/25
"Exam 2 - Chapters 6, 7, 8, 9",11/05/25
"Text 11",11/03/25
"Holiday - Veterans Day",11/11/25
"Sorting & Selection",11/12/25
"Last day to drop with a W.",11/14/25
"Text 12",11/12/25
"Graphs",11/21/25
"Text 14",11/21/25
"Holiday - Thanksgiving",11/26/25
"Holiday - Thanksgiving",11/27/25
"Holiday - Thanksgiving",11/28/25
"Memory Management & B-Trees",12/08/25
"Text 15",12/08/25
