08/25/25,"No Class
 Course Intro
Review Java Programming Basics
 Required lecture
 Object-Oriented Design","
Text 1

Text 2"
09/01/25,"Holiday - Labor Day
 Required lecture
Last day for no-record Drop
 Required lecture
 Fundamental Data Structures","



Text 3"
09/08/25,"
 
 
 
 Algorithm Analysis","



Text 4"
09/15/25," 
 
Spring Career Expo - No Class
 Recursion  
 ","

Text 5"
09/22/25,"
 

 
 Stacks, Queues & Deques","



Text 6"
09/29/25,"
 
Exam 1 - Chapters 1, 2, 3, 4, 5
 
 List ADT","



Text 7"
10/06/25,"
 


 ","



"
10/13/25,"
 
 General Trees
 
 
","

Text 8

"
10/20/25," Priority Queues
 
 
 
 ","Text 9



"
10/27/25,"Maps & Hash Tables 
 
 
 
 ",Text 10
11/03/25,"Search Trees
 
 Exam 2 - Chapters 6, 7, 8, 9
 
 ","Text 11



"
11/10/25,"
 Holiday - Veterans Day
Sorting & Selection
 
Last day to drop with a W.","

Text 12
"
11/17/25,"
 
 
 
 Graphs","



Text 14"
11/24/25,"
 
Holiday - Thanksgiving
 Holiday - Thanksgiving
 Holiday - Thanksgiving",
12/01/25," 
 
 
 
 ","



"
12/8/25," Memory Management & B-Trees
 
 
 


","Text 15




"
